title,description,employer,link,tags,source,date,locations
مسئول دفتر,شرح شغل :1. تنظیم جلسات و هماهنگی های لازم بین مدیران و سایر بخش ها2.مکاتبات و بایگانی دقیق اسناد3.انجام امور اداری و دفتری و نظارت بر امور مرتبط با محیط کار4.همکاری با مدیران جهت پیشبرد امور شرکت و هماهنگی های لازم5. توسعه فردی و افزایش توان در اجرای امور محموله6.کمک به شرکت و سایر پرسنل جهت حل مشکلات محیط کارویژگی ها و مهارت های مورد نیاز برای شغل :1.روابط عمومی بالا و مسئولیت پذیری2.آشنا به آداب معاشرت و حسن اخلاق3. صبوری و پشتکار4.راز داری و پیگیری امور تا حصول نتیجه5.اشتیاق به پیشرفت و یادگیری6.توانایی نگارش نامه های اداری و ویراستاری متون,پترو پالایش آکام,https://jobvision.ir/jobs/736130/استخدام-مسئول-دفتر?row=11&pageSize=30&searchId=384999677753723006&score=17.79&ReferrerJobPosition=8,,jobvision,امروز,تهران، میرداماد
مهندس عمران - آقا,شرکت ورسا نیازمند به مهندس آقا جهت نظارت در شرکت پیمانکاری اسکلت با شرایط ذیل می باشد:مهندس عمران آقا ساکن غرب تهرانحداقل تجربه 3 سال در امور پیمانکاری اسکلت بتنیوسیله نقلیه جهت رفت و آمدمسلط به ضوابط اسکلت بتنی و بتن ریزی و نقشه خوانی,ورسا,https://jobvision.ir/jobs/736054/استخدام-مهندس-عمران---آقا?row=12&pageSize=30&searchId=384999677753723006&score=17.48&ReferrerJobPosition=8,,jobvision,امروز,تهران، سازمان برنامه
Compensation & Benefits Supervisor,"Job Description:Design compensation packages and bonus programs that align with company’s policiesEnsure that salaries and benefits are consistent with both external and internal equityResearching C&B trends and reviewing compensation surveysAssessing and developing the organization’s pay structureResponsible for budget planning and budget monitoring of all HR activitiesResponsible for preparing different C&B reportRequirement:• Experience as a C&B Supervisor or similar roles• At least Bachelor's degree, relevant fields are preferred• Advanced Microsoft Excel skills• Excellent analytical and statistical skills• Great attention to details, very careful and precise",کوبل دارو,https://jobvision.ir/jobs/735569/استخدام-compensation--benefits-supervisor?row=13&pageSize=30&searchId=384999677753723006&score=17.05&ReferrerJobPosition=8,,jobvision,امروز,تهران، آرژانتین
مدیر محصول,شرح وظایف:- شناسایی، ارزیابی و مذاکره با تأمین‌کندگان خارجی، انتخاب بر اساس معیارهای ارزیابی مشخص، دریافت نمونه محصولات و انعقاد قرارداد.-تعامل با سایر واحدهای سازمانی مانند زنجیره تأمین برای حمل و ترخیص کالا همچنین ارتباط با برنامه‌ریزی تولید برای تأمین مواد خط تولید و رفع مشکلات احتمالی.-بررسی مرتب بازار، مشارکت در جلسه‌های فروش، بررسی روند فروش و گزارش‌های مربوط به عملکرد محصول مشارکت.-ارائه برنامه‌های تعدادی و زمانی خرید یک سال آینده با همکاری تیم عملیات متناسب با پیش‌بینی‌های فروش و اطمینان از تامین به موقع محصولات.-بررسی و تحلیل مداوم قیمت رقبا در بازار، قیمت‌گذاری محصولات جدید و بازنگری و اصلاح آن‌ها در صورت نیاز.شرایط احراز:- توانایی بالا در برقراری ارتباطات مؤثر با تیم‌های متقابل و ذی‌نفعان.-مهارت‌های تحلیلی و حل مسئله قوی، با توانایی تفسیر داده‌ها و شناسایی روندها.- توانایی مستندسازی، نگهداری و نسخه‌بندی مستندات.-توانایی انجام کار تیمی.-صبور و منعطف.-متعهد و مسئولیت‌پذیر.,صنایع گلدیران,https://jobvision.ir/jobs/736001/استخدام-مدیر-محصول?row=14&pageSize=30&searchId=384999677753723006&score=16.63&ReferrerJobPosition=8,,jobvision,امروز,تهران، گاندی
کارمند اداری - خانم,- ترجیحا ساکن شهرقدس- فن بیان قوی و هوش بالا- دارای روحیه پیگیری و نتیجه گرایی- قدرت یادگیری بالا و تمرکز لازم جهت یادگیری امور- منضبط در رفت و آمد- پاسخگویی تلفن- تایپ نامه، چک کردن ایمیل و ...-مسلط به امور اداری- مسلط به Word و Excel,آزمایشگاه آروین آزما سرمد,https://jobvision.ir/jobs/735819/استخدام-کارمند-اداری---خانم?row=15&pageSize=30&searchId=384999677753723006&score=16.63&ReferrerJobPosition=8,,jobvision,امروز,شهر قدس
پشتیبان تلفنی,توان یادگیری سریعروابط عمومی بالافن بیان قویروحیه کار تیمیعلاقه‌مند به یادگیریپر انرژی و مثبت‌اندیشمسئولیت‌پذیر، با انگیزه و دارای خلاقیتآشنا با کامپیوترداشتن نظم و دقت,هلدینگ آریان,https://jobvision.ir/jobs/734552/استخدام-پشتیبان-تلفنی?row=16&pageSize=30&searchId=384999677753723006&score=16.57&ReferrerJobPosition=8,,jobvision,امروز,اصفهان، خواجو
کارشناس فضای مجازی,تسلط و آشنایی با شبکه های اجتماعی مانند اینستاگرام روبیکا ،ایتا، آپارات، لینکدین و .. جهت تولید محتوای مستمر و مفید و پربازده همچنین آشنایی با سئوی سایت جهت مدیریت وب سایت مجموعه الزامی می باشد.,مهدیس آسانبر فراز,https://jobvision.ir/jobs/735088/استخدام-کارشناس-فضای-مجازی?row=17&pageSize=30&searchId=384999677753723006&score=16.52&ReferrerJobPosition=8,,jobvision,امروز,تهران، زعفرانیه
کارشناس حسابداری,تسلط کامل به امورمالی از جمله ثبت سند ، حقوق و دستمزد، خزانه امور ، مالیاتی و بیمه ای علاقه مند به کار گروهی، خلاقیت داشتن نظم و انضباط,سازمانی فعال در حوزه تولیدی / صنعتی,https://jobvision.ir/jobs/735027/استخدام-کارشناس-حسابداری?row=18&pageSize=30&searchId=384999677753723006&score=16.25&ReferrerJobPosition=8,,jobvision,امروز,تهران، دروازه دولت
کارشناس تضمین کیفیت (cop),لیسانس صنایع یا مکانیک از دانشگاه معتبربا سابقه کار در حوزه تضمین کیفیت COPو ایزو 9000 آشنایی با الزامات IATF و حداکثر سن 35 سال,شرکت بهمن دیزل,https://jobvision.ir/jobs/723456/استخدام-کارشناس-تضمین-کیفیت-cop?row=19&pageSize=30&searchId=384999677753723006&score=16.22&ReferrerJobPosition=8,,jobvision,امروز,الوند
منشی و مسئول دفتر - خانم,به یک خانم محترم و پر انرژی جهت انجام امور اداری و دفتری در یک محیط سالم و بی حاشیه احتیاج داریم.- اتجام کارهای اداری و دفتری و جوابگویی به تلفن- آشنایی حداقلی با کامپیوتر- ساعت کاری: شنبه الی چهارشنبه 9 تا 6محل شرکت: تقاطع حافظ و جمهوری فاصله تا ایستگاه مترو چند دقیقه پیاده,اکوتک,https://jobvision.ir/jobs/720156/استخدام-منشی-و-مسئول-دفتر---خانم?row=20&pageSize=30&searchId=384999677753723006&score=16.16&ReferrerJobPosition=8,,jobvision,امروز,تهران، جمهوری
مسئول دفتر مدیر عامل,روابط عمومی بسیار بالا و خوش برخوردتوانایی انجام و مدیریت چند کار بطور همزمانتوانایی پیگیری امور به صورت منظم و سیستماتیکآشنایی با ضوابط و مقررات پرسنلیتسلط بر نرم‌افزار آفیسآشنایی کامل به نرم‌افزارهای حضور و غیاب PW Kara، گزارش‌دهی ورود و خروج پرسنلآشنایی کامل با امور بایگانیتحصیلات کاردانی به بالا,ناوک دارو,https://jobvision.ir/jobs/735530/استخدام-مسئول-دفتر-مدیر-عامل?row=21&pageSize=30&searchId=384999677753723006&score=16.16&ReferrerJobPosition=8,,jobvision,امروز,تهران، فلسطین
مشاور مالیاتی,مشاور مالیاتی با تجربه در زمینه مسائل مالیاتی و بیمه در مراکز خرید و امور هلدینگحضور در هفته حداقل دو روزآشنایی کامل با اصول حسابداری,مجتمع تجاری، اداری، تفریحی و خدماتی رزمال,https://jobvision.ir/jobs/734649/استخدام-مشاور-مالیاتی?row=22&pageSize=30&searchId=384999677753723006&score=16.11&ReferrerJobPosition=8,,jobvision,امروز,تهران، آبشار
مدیر کنترل کیفیت,شرح مسئولیت ها:-مسلط به فرایند های بازرسی ماشین کاری و ریخته گری چدن،فولاد و...- مسلط به مباحث تضمین کیفیت-مسلط به استانداردهای ISO9001 و ISO45001 و استاندارد محصول- مسلط به روش های بازرسی و تهیه QCP (طرح کیفیت محصول)- مسلط به روش های ممیزی داخلی و سابقه ممیزی خارجی و صدور گواهینامه- توانایی تدوین و نظارت بر روش های اجرائی، دستورالعمل های کاری به همراه ضمائم آنها- توانایی تدوین فرایندهای کاری و تعیین شاخص های عملکرد و پایش آنها- توانایی مدیریت نیروی انسانی و تدوین توسعه مسیر شغلی برای پرسنل کیفیت- مسلط به اصول بازنگری مدیریت در استانداردهای سیستم مدیریت- مسلط به فرایندهای کنترل کیفیت و تضمین کیفیتشرایط احراز:-سابقه مدیریتی در شاخه مدیریت کنترل کیفیت(ریخته گری و ماشین کاری)- سابقه 10 سال مدیریت در شرکت های بیش از 400 نفر-توانایی برقراری ارتباط موثر بین واحدی و مدیریت ارشد سازمان- توانایی و تسلط به نرم افزارهای SPS و OFFICE- مسلط به فرایندهای صدور عدم انطباق و پیگیری و تعریف اقدامات اصلاحی و پیشگیرانه- داشتن گواهینامه سرممیزی در ISO9001 و ISO45007- توانائی کامل در حل مسئله و داشتن الگوی حل مسئله در تفکر- آشنا به تکنیک های مدیریتی و حل مسئله,میراب,https://jobvision.ir/jobs/736145/استخدام-مدیر-کنترل-کیفیت?row=23&pageSize=30&searchId=384999677753723006&score=16.03&ReferrerJobPosition=8,,jobvision,امروز,حسن اباد
مسئول دفتر,منشی و مسئول دفتر جهت انجام امور مرتبط با عنوان شغلی,پیشداد گستر بهاوند,https://jobvision.ir/jobs/735517/استخدام-مسئول-دفتر?row=24&pageSize=30&searchId=384999677753723006&score=15.99&ReferrerJobPosition=8,,jobvision,امروز,تهران، آذربایجان
کارشناس عمران - آقا,تسلط کامل به نرم افزار اتوکدکارشناس عمران حداقل 3 سال سابقه در زمینه طراحی سازهحضور در محل کار در ایام تعطیل بنا به صلاح دید مدیر واحد مربوطه الزامی می باشد.,شرکت بهمن موتور,https://jobvision.ir/jobs/736097/استخدام-کارشناس-عمران---آقا?row=25&pageSize=30&searchId=384999677753723006&score=15.98&ReferrerJobPosition=8,,jobvision,امروز,تهران، تهرانسر
کارشناس پشتیبانی (خدمات پس از فروش سازمانی),شرکت معتبر فعال در محدوده میدان تجریش در زمینه تجهیزات حفاظتی و ایمنی و درب های اتوماتیک در تهران جهت تکمیل کادر پشتیبان و خدمات پس از فروش به ارگان ها ، سازمان ها، مراکز تجاری و صنعتی ، اماکن مسکونی ، کارخانجات و دوایر دولتی از متقاضیان ساکن استان تهران استخدام می نمایدشرایط احراز:•  دارای اطلاعات فنی•  آشنایی با مفاهیم فروش،•  آشنایی با نرم افزارهای کاربردی•  تجربه در پشتیبانی فروش•  افراد آشنا با دوربین های مداربسته و درب های اتوماتیک از اولویت استخدام برخوردار هستند.مهارت های عمومی:•  پیگیر و ارتباط مناسب با مشتریان•  مسئولیت پذیر و پاسخگو•  دارای روابط عمومی بالا در برقراری ارتباط موثر با دیگران•  صبور بودن و دارای حوصله در انجام امور محوله,شرکت اشل ایمن پارس,https://jobvision.ir/jobs/735731/استخدام-کارشناس-پشتیبانی-خدمات-پس-از-فروش-سازمانی?row=26&pageSize=30&searchId=384999677753723006&score=15.86&ReferrerJobPosition=8,,jobvision,امروز,تهران، تجریش
مربی ورزشی کودکان - خانم,تیم ورزشی کودک و نوجوان کاکرون مربی بازی و ورزش کودک و مربی اسکیت علاقمند به حیطه ورزش کودکی جذب می‌کند,تیم ورزشی کودک و نوجوان کاکرون,https://jobvision.ir/jobs/732667/استخدام-مربی-ورزشی-کودکان---خانم?row=27&pageSize=30&searchId=384999677753723006&score=15.52&ReferrerJobPosition=8,,jobvision,امروز,تهران، جنت آباد
کارشناس IT,کنترل و نظارت بر شبکه‌های موجود در شرکتمدیریت شبکه و کنترل سطوح دسترسیتهیه و نگهداری نسخه‌های پشتیبان از نرم افزارها، سیستم عامل‌ها، سرورها و…نظارت بر تعمیرات و ورود خروج سیستم‌های سخت افزاری و نرم افزاریرفع مشکلات کاربرانارائه‌ی گزارش‌های دوره‌ای مبنی بر شرایط حوزه فناوری اطلاعات شرکت,نوآوری پزشکی آرتیمان,https://jobvision.ir/jobs/735383/استخدام-کارشناس-it?row=28&pageSize=30&searchId=384999677753723006&score=15.27&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
ادمین اینستاگرام,اشنا به الگوریتم اینستاگرام,فرین پوست,https://jobvision.ir/jobs/735995/استخدام-ادمین-اینستاگرام?row=29&pageSize=30&searchId=384999677753723006&score=14.91&ReferrerJobPosition=8,,jobvision,امروز,اصفهان، شیخ صدوق
کارمند پاسخگویی مرکز تماس (کال سنتر),شرح وظایف و مسئولیت ها:تماس با مشتریان و جمع اوری اطلاعات به شکل تلفنیهدایت و راهنمایی مشتری برای انتخاب بهتر محصول یا سرویسپیروی و حضور در شیفتهای تعیین شده طبق برنامه زمانی هفتگیحل مشکلات پیش آمده در حین خرید محصول یا سرویس برای مشتریتهیه گزارشات لازم و مستند کردن اطلاعات جمع اوری شده و ارائه انها به مدیر مربوطهپاسخگویی به مشتریانی که اقدام به خرید محصول و یا دریافت خدمات از شرکت را دارند.دانش تخصصی و مهارت های مورد نیاز:مهارت فن بیان خوبمهارت برنامه ریزیآشنایی با الگوهای مکالماتیآشنایی متوسط به Excel,شرکت ایلیا استیل,https://jobvision.ir/jobs/733533/استخدام-کارمند-پاسخگویی-مرکز-تماس-کال-سنتر?row=30&pageSize=30&searchId=384999677753723006&score=14.7&ReferrerJobPosition=8,,jobvision,امروز,تهران، قلهک
فروشنده فروشگاه,به چندین فروشنده مجرب و با تجربه خانم و آقا به صورت تمام وقت و پاره وقت در فروشگاه برند پوشاک زنانه مردانه بچگانهواقع در منطقه 22 غرب تهران ترجیحا با سابقه کاری مرتبط دعوت به همکاری میشودجهت تمایل به همکاری رزومه کاری ارسال شود,آد گالری,https://jobvision.ir/jobs/724690/استخدام-فروشنده-فروشگاه?row=31&pageSize=30&searchId=384999682119196816&score=14.38&ReferrerJobPosition=8,,jobvision,امروز,تهران، کوهک
مهندس نقشه کش (آتش نشانی),مسلط به تاسیسات ساختمانیآشنا به ضوابط و نقشه های آتش نشانیآشنا به نقشه های فاز دوآشنا به سیستم تهویه و تخلیه پارکینگ هامسلط به اتوکدمسلط به رویت تاسیساتمیزان تحصیلات: حداقل کاردانی و کارشناسیتسلط کامل به نرم افزارهای مجموعه Office به ویژه Word و Excelمنضبط و وقت شناسمتعهد و معتمدتوان مدیریتی بالا در انجام امور محولهپیگیری، روابط عمومی خوب، مسئولیت پذیریتسلط بر کارهای هم زمانوقت شناسی و نظم محیطی,آدیش آذر مهر,https://jobvision.ir/jobs/735098/استخدام-مهندس-نقشه-کش-آتش-نشانی?row=32&pageSize=30&searchId=384999682119196816&score=14.35&ReferrerJobPosition=8,,jobvision,امروز,تهران، قیطریه
حسابدار,• شرکت نیکان نهاده سبزگستران پارس کشاورز واقع در شهر شیراز در زمینه توزیع نهاده‌های کشاورزی جهت تکمیل کادر خود (حسابداری) از افراد دارای شرایط زیر دعوت به همکاری می‌نماید.• آشنا به نرم‌افزار شایگان• توانایی کار با اکسل• آشنا با حسابداری بازرگانی• پر انرژی، دقیق و با انگیزه• دارای روابط عمومی خوب• پایبند به اخلاق حرفه‌ای و کار گروهی• تحصیلات: حداقل کارشناسیتسهیلات و مزایا• حقوق طبق وزارت کار• محیط کاری مناسب و انگیزشی• بیمه تامین اجتماعی,شرکت نیکان نهاده سبز گستران پارس کشاورز,https://jobvision.ir/jobs/736058/استخدام-حسابدار?row=33&pageSize=30&searchId=384999682119196816&score=14.35&ReferrerJobPosition=8,,jobvision,امروز,شیراز
اپراتور تولید - آقا,حداقل دارای مدرک کاردانیاپراتور پرس کار قرص آشنا با دستگاههای پرساپراتور روکش قرصاپراتور ساخت جامداتاپراتور ساشه پرکنیاپراتور بلیسترینگآشنا به دستگاهای تولید قرصعیب یابی دستگاه هاآشنا به فرایند داروسازیآشنایی با اصول GMPامکان کار در شیفت شب,شرکت داروسازی کوثر,https://jobvision.ir/jobs/691046/استخدام-اپراتور-تولید---آقا?row=34&pageSize=30&searchId=384999682119196816&score=14.26&ReferrerJobPosition=8,,jobvision,امروز,تهران، چیتگر
کارمند اداری - خانم,توضیحاتبه یک نفر نیروی اداری و مشاور خانم با حقوق وزارت کار+بیمه+پورسانت نیازمندیم. ««موسسه اموزشی»» فن بیان بالا،باانگیزه و باانرژی. جذب دانشجو +مشاوره تحصیلی «مشاوره ها در ابتدا به شما اموزش داده میشود» تمام وقت و حضوری در دفتر موسسهترجیحا نیروی کاری برای همکاری بلند مدت نیازمندیم. محدودی کاری: میدان انقلاب.فخررازی حداکثر سن:26 سال«متاسفانه سن بالاتر تحت هیچ شرایطی امکان همکاری نیست» دانشجویان به هیچ عنوان تماس نگیرند. حداقل مدرک :لیسانس,اپلای ایتالیا,https://jobvision.ir/jobs/616238/استخدام-کارمند-اداری---خانم?row=35&pageSize=30&searchId=384999682119196816&score=14.1&ReferrerJobPosition=8,,jobvision,امروز,تهران، انقلاب
تولید محتوا و ادمین,حوزه فعالیت کارشناس و متخصص IT و گرافیک و ادمین محترم مدنظر این مجموعه :1. ادمینی شبکه های اجتماعی2. تولید محتوا (عکس ، فیلم ، بنر و ...)3. پشتیبانی سایت (ترجیحا آشنا یا مسلط به طراحی وردپرس)4. سئو سایت5. مسلط به ICDL6. مسلط به اینترنت و فضای مجازی7. آشنا به تبلیغات و دیجیتال مارکتینگ*ترجیحا دارای پاسپورت واجازه خروج از کشور (به دلیل تولید محتوا در تورهای گروهی خارجی)افراد مسلط به تدوین و گرافیک در الویت هستن,پرواز بلورین شیردال,https://jobvision.ir/jobs/711898/استخدام-تولید-محتوا-و-ادمین?row=36&pageSize=30&searchId=384999682119196816&score=14.08&ReferrerJobPosition=8,,jobvision,امروز,تهران، شهرک غرب
طراح وب سایت - خانم,شرکت طراح ایده ماندگار جهت تکمیل کادر خود نیرو میپذیرد-ترجیحا خانممهارت:کارشناس سئو و محتواآشنا به WORDPRESS-HTML-CSSآشنا به سئوتسلط کامل به صفحه سازها،افزونه ها،ویرایش،نگارش،کپی رایتخلاق و ایده پردازعلاقمند به کار تیمی و منضبطمسئولیت پذیرمهارت آموزش پذیریتوانایی مدیریت و برنامه ریزی کارهاآشنا به اینترنت و فضای مجازیمدیریت ارتباط با مشتریان و همکاران داخلیمنظم در کلیه امور و پیگیری کارهامزایا :بیمه تامین اجنماعیساعت کاری منعطفقرارداد یک ساله با سازمانافزایش حقوق سالانه,طراح ایده ماندگار,https://jobvision.ir/jobs/734005/استخدام-طراح-وب-سایت---خانم?row=37&pageSize=30&searchId=384999682119196816&score=14.05&ReferrerJobPosition=8,,jobvision,امروز,تهران، تهرانپارس
کمک حسابدار - خانم,ثبت امور مالی و انبار(فقط ساکنین پردیس و رودهن),سردساز پویش پارس,https://jobvision.ir/jobs/735903/استخدام-کمک-حسابدار---خانم?row=38&pageSize=30&searchId=384999682119196816&score=13.89&ReferrerJobPosition=8,,jobvision,امروز,پردیس
