,title,description,employer,link,tags,city,date
10,استخدام توسعه‌دهنده Front-end,شرح موقعیت شغلی مجموعه پیشرو ابتکار و دانش جهت تکمیل تیم خود به یک فرانت اند دولوپر نیاز دارد. ما در پانتوهلث به رشد و یادگیری پایبندیم و به  دنبال افرادی از جنس خودمان هستیم؛ افرادی که باانگیزه، سخت کوش، نتیجه گرا و مشتاق پیشرفت باشند.مسئولیت ها:  پیاده سازی قابلیت های محصول در سمت کاربر توسعه قابلیت های فعلی بهبود یا بازنویسی کد نوشتن کد خوانا، تمیز و استاندارد با کارایی بالا مسئولیت پذیری و توانایی تعامل با سایر افراد و تیم ها چالش پذیری و توانایی تحلیل مسئله دقت بالا در اجرای طرح های گرافیکی  مهارت های مورد نیاز:  تسلط بر HTML5/CSS3 دانش عمیق نسبت به JavaScript و ES6-ES7 تسلط کامل بر React و مفاهیم آن تسلط بر Redux و Axios آشنایی با REST و Git  مهارت های امتیازی:  آشنایی با مفاهیم نوشتن تست به صورت Unit Test و Integration Test آشنایی با leaflet.js و moment.js آشنایی با Styled Components و Chakra UI داشتن تجربه ی انجام کار تیمی  بخشی از وظایف شما:  شرکت در جلسات اسپرینت و ارائه ی پیشنهاد برای بهبود پیش برد روند پروژه ها پاسخ گویی و رفع اشکال (Debugging) بخش های پیاده سازی شده  معرفی شرکت شرکت دانش بنیان پیشرو ابتکار و دانش، از واحدهای فناور مرکز رشد دانشگاه صنعتی شریف، پس از فعالیت  در داخل کشور، در حال صادرات تجهیزات و محصولات خود در زمینه فناوری اطلاعات (IoT) در صنعت ریلی به اتحادیه اروپا می باشد.,پیشروابتکارودانش,https://quera.org//magnet/jobs/6pmdp,"['Redux', 'React', 'Junior', 'تمام وقت', 'امکان دورکاری']",unknown,۹ اردیبهشت ۱۴۰۳،‏ ۱۲:۳۸
11,استخدام برنامه‌نویسی میکروکنترلر,در حال حاضر پروژه ی در دست کار شرکت، اضافه کردن ماژول IoT به محصول اصلی شرکت تعریف شده است. ترکیبی از دانش سخت افزار، برنامه نویسی میکروکنترلرهای خانواده Holtek، محیط Arduino برای ماژول esp، پروتکلهای ارسال و دریافت دیتا و درک نحوه کار rtos نیازمندی های اصلی این پروژه هستند. زبان برنامه نویسی این پروژه C و ++C خواهند بود. همچنین، تیم فعلی دو نفره بوده (طراحی سخت افزار و آماده سازی سرور و اپ) و همکار جدید ما کار خود را از کد سطح پایین C بر روی سخت افزار شروع میکند. پرچالش ترین قسمت پروژه ایجاد ارتباط بین سه میکروکنترلر، جمع آوری و پکت بندی دیتا، توجه به low power بودن سیستم و ایجاد ابزار دیباگ و OTA است.,شرکت مهندسی شایگان,https://quera.org//magnet/jobs/w7k9v,"['C++', 'ARM', 'C', 'Senior', 'تمام وقت', 'حقوق ۱۶,۰۰۰,۰۰۰ تا ۲۶,۰۰۰,۰۰۰']",unknown,۹ اردیبهشت ۱۴۰۳،‏ ۱۲:۳۵
12,استخدام Senior Front-end Developer (React),به عنوان یک توسعه دهنده ی ارشد React، با لایه های عمیق تری از نرم افزار مثل معماری، درگیر میشید و دانش شما در زمینه ی مهندسی نرم افزار، مهم تر از یک تکنولوژی یا زبان خاصه. تجربه چند ساله شما در این زمینه، لازمه ی تصمیم گیری درست در مواقع خاص و هدایت و آموزش نیروهای تازه کار تره. توانایی درک و تحلیل درست مسئله و ارائه راه حل بهینه برای مسائل یکی از مهم ترین توانمندی های شما در این نقشه.برای خلق یک رابط کاربری خوب حتما نیاز میشه که  به JavaScript و CSS و HTML خوب مسلط باشی ReactJs تو مشتت باشه بتونی مسائل رو حل کنی و با الگوریتم ها میونه خوبی داشته باشی اصول طراحی و پیاده سازی صفحات Responsive رو خوب بدونی اینکه به تجربه ی کاربر(UX) اهمیت بدی و UI خوبی هم طراحی کنی مهمه از همه مهمتر اینه که اهل کار تیمی باشی و زمانت رو درست مدیریت کنی کد های خوانا، تمیز و استانداردی بنویسی به یادگیری مطالب جدید علاقه مند باشی و خودت رو بروز نگه داری ,رایانوید سامانه,https://quera.org//magnet/jobs/79jmd,"['JavaScript', 'Node.js', 'TypeScript', 'Redux', 'React', 'Senior', 'تمام وقت', 'امکان دورکاری']",تهران,۸ اردیبهشت ۱۴۰۳،‏ ۱۲:۳۴
13,استخدام کارشناس ارشد برنامه‌نویسی Angular,*************************** لطفا در صورتیکه در اصفهان سکونت دارید، رزومه ارسال نمایید. ******************************** ما به نیرویی با انگیزه و باتجربه در زمینه برنامه نویسی Angular با حداقل 5 سال سابقه کار و شرایط زیر نیاز داریم. نیروهای ما در محیطی فعال با تکنولوژی های نوین مدیریت پروژه و انواع روش های جدید توسعه کار می کنند. لذا، افرادی که به این مباحث آشنا باشند و یا مشتاق به یادگیری باشند، در اولویت انتخاب خواهند بود.,مهندسی ارتباطی پیام پرداز,https://quera.org//magnet/jobs/9w9vq,"['HTML5', 'Sass', 'ES6 Class', 'AngularJS', 'TypeScript', 'Senior', 'تمام وقت']",اصفهان,۸ اردیبهشت ۱۴۰۳،‏ ۱۲:۰۵
14,استخدام توسعه‌دهنده پردازش تصویر (AI),شرکت امیدفضا بعنوان یک شرکت دانش بنیان، در حوزه طراحی و ساخت ماهواره فعالیت دارد. پروسه طراحی و ساخت به طور کامل در این شرکت انجام می شود. ماهواره مورد نظر پس از پرتاب برای ارائه خدمات خود نیازمند پلتفرم های نرم افزاری برای ارائه ارزش خود به عموم مردم و کسب و کار های می باشند. تیم نرم افزاری امیدفضا متشکل از تخصص های مختلف در حال توسعه این پلتفرم ها می باشند. برای بخش هوش مصنوعی و پردازش تصویر نیازمند فردی با مشخصات اشاره شده هستیم,گروه نوآور امیدفضا,https://quera.org//magnet/jobs/pp69k,"['TensorFlow', 'OpenCV', 'Pytorch', 'Machine Learning', 'Neural Network', 'Junior', 'تمام وقت']",تهران,۵ اردیبهشت ۱۴۰۳،‏ ۱۷:۱۸
15,استخدام توسعه‌دهنده #Back-end - C,شرکت امیدفضا بعنوان یک شرکت دانش بنیان، در حوزه طراحی و ساخت ماهواره فعالیت دارد. پروسه طراحی و ساخت به طور کامل در این شرکت انجام می شود. ماهواره مورد نظر پس از پرتاب برای ارائه خدمات خود نیازمند پلتفرم های نرم افزاری برای ارائه ارزش خود به عموم مردم و کسب و کار های می باشند. تیم نرم افزاری امیدفضا متشکل از تخصص های مختلف در حال توسعه این پلتفرم ها می باشند. برای بخش Back end نیازمند فردی با مشخصات اشاره شده هستیم,گروه نوآور امیدفضا,https://quera.org//magnet/jobs/g9gdx,"['ASP.NET', 'WPF', 'Back-end', 'C#', 'MAUI', 'Junior', 'تمام وقت']",تهران,۵ اردیبهشت ۱۴۰۳،‏ ۱۷:۱۸
16,استخدام توسعه‌دهنده وب, به یادگیری علاقمند باشید و خود را با دانش روز همراه سازید. به توسعه مهارت های فردی خود و تیم اهمیت دهید. معتقد به تولید محصول با کیفیت باشید. اهل کار تیمی و پیگیر پیشبرد پروژه باشید. در حوزه فوق کار آموز به صورت حضوری پذیرش می شود. ,نوید تیمچه تجارت نیل,https://quera.org//magnet/jobs/dpjrv,"['React', '.NET', 'Junior', 'تمام وقت', 'امکان دورکاری']",کرمان,۵ اردیبهشت ۱۴۰۳،‏ ۱۷:۱۶
17,استخدام توسعه‌دهنده Front-end,فرصت همکاری در پروژه های شهر هوشمند و کارخانه هوشمندآشنایی و کار با تکنولوژی های روز دنیا در حوزه اینترنت اشیاء صنعتی برای توسعه دهندگان Junior و mid-level و senior حقوق از ۱۲ تا ۳۰ میلیون تومان شرح شغل  توسعه، بهبود و به روز رسانی رابط کاربری ایجاد، تست، بازبینی و تحلیل تنگناهای برنامه ها حصول اطمینان از امکان پذیر بودن اجرای طراحی های UI/UX ایجاد برنامه های Responsive و ویژگی های مبتنی بر موبایل بهینه سازی برنامه ها از نظر کارایی و مقیاس پذیری ایجاد کدهای با کیفیت به منظور افزایش کارایی و سرعت تیم پیشنهاد راه حل مناسب برای سیستم با در نظر گرفتن مزایا و معایب همه راه حل های موجود ارتباط مستمر و سازنده با مدیر پروژه و دیگر اعضای تیم ,محرکه گستر آرشید,https://quera.org//magnet/jobs/jqgr8,"['JavaScript', 'HTML5', 'CSS3', 'Bootstrap Sass', 'Vue.js', 'Junior', 'تمام وقت', 'حقوق ۱۲,۰۰۰,۰۰۰ تا ۲۲,۰۰۰,۰۰۰']",اصفهان,۵ اردیبهشت ۱۴۰۳،‏ ۱۶:۰۱
18,استخدام توسعه‌دهنده ASP.NET,"ما در تیم دانش بنیان شهپر، برای پیاده‏ سازی و توسعه سامانه هامون به یک دوست جوان با عنوان ""توسعه دهنده NET."" نیاز داریم که علاوه بردانش و مهارت های مورد نیاز این موقعیت شغلی، شور و اشتیاق زیادی برای حل چالش‏ های جدید داشته باشد. اگر شما فردی هستید که همه یا بخشی از توانمندی های زیر رو دارید، خیلی خوشحال خواهیم شد بتونیم در جمع خودمون شمارو داشته باشیم و همکارهای خوبی برای هم باشیم.",شهپر اندیشه کادوس,https://quera.org//magnet/jobs/qpwgx,"['JavaScript', 'HTML', 'Git', 'SQL', 'ASP.NET', 'Junior', 'تمام وقت']",تهران,۳ اردیبهشت ۱۴۰۳،‏ ۱۵:۲۳
19,استخدام برنامه‌نویس PHP,"ما در مجموعه ""مهندسی داده آوران"" جهت تکمیل تیم تولید خود نیازمند حضور همکار برنامه نویس PHP با تجربه کاری مفید در تولید و توسعه ی نرم افزارها هستیم. در این فرصت شغلی، شما همراه با تیم توسعه همکاری می کنید تا پروژه های داده آوران را توسعه دهید. مسئولیت ها:  تولید کدهای تست پذیر، قابل نگهداشت و قابل استفاده مجدد همکاری و تعامل اثربخش با اعضای تیم، مالک محصول و مدیر فنی ارائه راه حل های ساده، کارا و خلاقانه برای مسائل پیچیده دیباگ و رفع خطا ",داده آوران بهین طرح,https://quera.org//magnet/jobs/6pmrp,"['MySQL', 'React', 'Laravel', 'Next.js', 'PHP', 'Senior', 'تمام وقت', 'حقوق ۲۵,۰۰۰,۰۰۰ تا ۳۵,۰۰۰,۰۰۰']",تهران,۳ اردیبهشت ۱۴۰۳،‏ ۱۳:۲۹
20,استخدام برنامه‌نویس #C,"ما در مجموعه ""مهندسی داده آوران"" جهت تکمیل تیم تولید خود نیازمند حضور همکار برنامه نویس Full Stack Developer .NET Core با تجربه کاری مفید در توسعه ی نرم افزارهای تحت وب و تحت ویندوز هستیم. در این فرصت شغلی، شما همراه با تیم توسعه همکاری می کنید تا پروژه های داده آوران را توسعه دهید. مسئولیت ها:  تولید کدهای تست پذیر، قابل نگهداشت و قابل استفاده مجدد همکاری و تعامل اثربخش با اعضای تیم، مالک محصول و مدیر فنی ارائه راه حل های ساده، کارا و خلاقانه برای مسائل پیچیده دیباگ و رفع خطا ",داده آوران بهین طرح,https://quera.org//magnet/jobs/w7krv,"['ASP.NET MVC', 'Entity Framework', 'Solid Principles', 'Core', 'C#', 'Senior', 'تمام وقت', 'حقوق ۳۰,۰۰۰,۰۰۰ تا ۴۰,۰۰۰,۰۰۰']",تهران,۳ اردیبهشت ۱۴۰۳،‏ ۱۳:۰۶
21,استخدام توسعه‌دهنده React Native,تیم کایا در نظر دارد در زمینه پروژه های بین المللی برنامه نویسی ، اقدام به جذب برنامه نویس ارشد React Native نماید. نحوه فعالیت بصورت پروژه ای می باشد. اگر خوش برخورد و مثبت نگر و علاقه مند به پروژه های بین المللی با موضوعات متنوع هستید، جای شما در تیم ما خالیست! شرایط کاری:  حقوق به صورت پروژه ای. امکان دورکاری فراهم می باشد. ,کایا,https://quera.org//magnet/jobs/dpjgv,"['React Native', 'Senior', 'پروژه ای', 'امکان دورکاری']",تبریز,۲ اردیبهشت ۱۴۰۳،‏ ۱۲:۵۰
22,استخدام توسعه‌دهنده فول استک MERN,تیم کایا در نظر دارد در زمینه پروژه های بین المللی برنامه نویسی ، اقدام به جذب برنامه نویس ارشد MERN نماید. نحوه فعالیت بصورت پروژه ای می باشد. اگر خوش برخورد و مثبت نگر و علاقه مند به پروژه های بین المللی با موضوعات متنوع هستید، جای شما در تیم ما خالیست! شرایط کاری:  حقوق به صورت پروژه ای. امکان دورکاری فراهم می باشد. ,کایا,https://quera.org//magnet/jobs/86kj9,"['Next.js', 'React', 'Node.js', 'Senior', 'پروژه ای', 'امکان دورکاری']",شیراز,۲ اردیبهشت ۱۴۰۳،‏ ۱۲:۵۰
