title,description,employer,link,tags,source,date,locations
استخدام حسابدار حقوق و دستمزد,"دریافت اطلاعات کارکرد ماهیانه پرسنل از واحد اداری و ورود اطلاعات
تهیه وتنظیم لیست حقوق و ارسال به خزانه جهت واریز حقوق
محاسبات حقوق و دستمزد پرسنل بر اساس حکم های کارگزینی و محاسبات کسورات مانند حق بیمه،مالیات،وام و مساعده و…پرسنل و حقوق معوق براساس مدارک مثبته موجود
محاسبه و پرداخت اضافات حقوق مانند حق ماموریت،اضافه کارطبق لیست ارسالی از واحدها
کنترل انتقال اطلاعات احکام پرسنل تحت پوشش به سیستم حقوق و دستمزدودریافت و کنترل لیستهای کسورات قابل اعمال درمحاسبات حقوق ماهیانه پرسنل شرکت
کنترل در انجام محاسبات نهایی وتائید لیستهای ماهیانه حقوق
هماهنگی با واحد خزانه جهت ارائه بموقع اطلاعات پرداخت حقوق
هماهنگی و تحویل دیسکت بانک و اخذ رسید براساس آیین نامه داخلی شرکت",مهندسی اندیشه سبز تازه,https://karboom.io/jobs/rxbypj/%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1-%D8%AD%D9%82%D9%88%D9%82-%D9%88-%D8%AF%D8%B3%D8%AA%D9%85%D8%B2%D8%AF,,karboom,فوری,تهران
استخدام کارشناس برنامه ریزی فروش,"تهیه و بروز رسانی گزارشات فروش سازمان
تعامل با تیم های فروش در اعلام هدف های فروش
تخصیص سبد محصولات بین لاین های مختلف فروش
کنترل موجودی انبار و سفارش گذاری های لازم
تعامل با تامین کنندگان به منظور تامین اهداف گروه کالایی ها
تعامل با تیم توزیع در خصوص بهبود عملیات فروش و توزیع",آیسان تکنام پویا,https://karboom.io/jobs/rlxbjl/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B1%DB%8C%D8%B2%DB%8C-%D9%81%D8%B1%D9%88%D8%B4,,karboom,فوری,تهران
استخدام کارشناس بازاریابی و فروش (کشتیرانی و حمل و نقل بین المللی),"شرح شغل و وظایف



شناسایی و مذاکره با شرکت‌های بازرگانی، حمل‌ و نقل داخلی و بین‌المللی
شناسایی و مذاکره با مشتریان بلقوه
مذاکره، بازاریابی و فروش تلفنی، حضوری
سایر امور محوله در بخش فروش",دریای آرام آماتیس,https://karboom.io/jobs/waelbg/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C-%D9%88-%D9%81%D8%B1%D9%88%D8%B4-%DA%A9%D8%B4%D8%AA%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D9%88-%D8%AD%D9%85%D9%84-%D9%88-%D9%86%D9%82%D9%84-%D8%A8%DB%8C%D9%86-%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C,,karboom,فوری,تهران
استخدام جذب سظوح حرفه ای حسابرسی (کمک حسابرس، حسابرس، حسابرس ارشد),,موسسه حسابرسی آزمون پرداز,https://karboom.io/jobs/wnkzdx/%D8%AC%D8%B0%D8%A8-%D8%B3%D8%B8%D9%88%D8%AD-%D8%AD%D8%B1%D9%81%D9%87-%D8%A7%DB%8C-%D8%AD%D8%B3%D8%A7%D8%A8%D8%B1%D8%B3%DB%8C-%DA%A9%D9%85%DA%A9-%D8%AD%D8%B3%D8%A7%D8%A8%D8%B1%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%B1%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%B1%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF,,karboom,فوری,تهران
استخدام کارشناس نصب، راه اندازی، نگهداری و ذخیره سازی,"بررسی نیازها و خواسته‌های مشتریان برای محصولات موجود و ارائه طرح‌های مناسب جهت پاسخ به آن نیازها و خواسته‌ها.
هماهنگی با مشتری جهت نصب محصولات فروخته شده بر اساس سیاست زمانی تعیین شده.
انجام نصب در مورد محصولات و خدمات به فروش رفته بر اساس سیاست تعیین شده در نصب هر محصول به شکل حضوری.
انجام آموزش در محل بر اساس محصول به فروش رفته.
انجام پشتیبانی در مورد محصولات نصب شده بر اساس سیاست تعیین شده برای هر محصول.
انجام پیگیری‌های تلفنی فنی مورد نیاز مشتری و پیگیری تیکت های ثبت شده در سامانه.
پاسخگویی به سوالات کاربران درباره کاربرد نرم‌افزارها و سخت‌افزارهای فروخته شده برای حل مشکلات آن‌ها.
تهیه مواد و فرآیندهای آموزشی و یا آموزش شیوه درست استفاده از نرم‌افزارها و سخت‌افزارها به مشتریان.
بررسی دستورالعمل‌های فنی، مشاوره با کاربران، یا بررسی تجهیزات برای تشخیص و رفع مشکلات یا فراهم نمودن پشتیبانی و کمک فنی.
اجرای دستورالعمل‌ها، سیاست‌ها و رویه‌های تعیین شده.
انجام امور تحقیق و توسعه.",iCTN,https://karboom.io/jobs/wdznbm/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%86%D8%B5%D8%A8-%D8%B1%D8%A7%D9%87-%D8%A7%D9%86%D8%AF%D8%A7%D8%B2%DB%8C-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%DB%8C-%D9%88-%D8%B0%D8%AE%DB%8C%D8%B1%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C,,karboom,فوری,تهران
استخدام انباردار-آقا,"محدوده سنی: 25 الی 35 سال
کارت پایان خدمت الزامی می باشد.
مدرک تحصیلی حداقل کاردانی(رشته های مالی)
آشنایی با مفاهیم و فرم ها و اصول انبارداری
تسلط به امور انبارگردانی
آشنا به اصول چینش انبار و الزامات ایمنی انبار
توانایی کنترل و نظارت بر روی کل انبارها و ارائه گزارش موجودی به واحدهای مرتبط
ثبت روزانه و به موقع تمام اسناد ورودی و خروجی به انبار
مسلط به نرم افزار راهکاران سیستم
دقیق، متعهد و مسئولیت پذیر
دارای سلامت جسمانی جهت جا به جایی کالا در انبار
داشتن گواهینامه لیفتراک مزیت محسوب می گردد.


شنبه تا چهارشنبه 8 الی 16:30 پنجشنبه 8 تا 12",شرکت کاغذسازی راشا کاسپین ایرانیان,https://karboom.io/jobs/wdayyz/%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1-%D8%A2%D9%82%D8%A7,,karboom,امروز,شیراز
Hiring Wordpress Developer,"Mediana is seeking a skilled WordPress Developer to enhance and scale our rapidly-growing suite of products.Job Description:

Develop custom plugins and themes for WordPress to meet business requirements.
Familiar with WooCommerce ,gravity , whmcs Design and implement high-performance WordPress sites that are secure and scalable.
Handle both backend and frontend development tasks, including using HTML, CSS, JavaScript, and PHP effectively.
Ensure cross-browser compatibility and mobile responsiveness.
Regularly update the website and its plugins to the latest versions while ensuring full compatibility and performance optimization.
Conduct website performance tests and troubleshoot any site issues.
Collaborate with the design and marketing teams to align the website's functionality with organizational goals.
Document development processes, code, and innovations for effective knowledge sharing and future maintenance.",مدیانا,https://karboom.io/jobs/rbavvm/wordpress-developer,,karboom,Today,Tehran
استخدام ترخیصکار,انجام فرآیند ترخیص کالا از گمرکات,هلدینگ بازرگانی و حمل و نقل بین المللی جم,https://karboom.io/jobs/rgaoop/%D8%AA%D8%B1%D8%AE%DB%8C%D8%B5%DA%A9%D8%A7%D8%B1,,karboom,امروز,تهران
استخدام کارشناس عملیات منابع انسانی,"درتیممنابع انسانیگروه آگاهنیاز به فردیبا عنوان کارشناسعملیات داریمتا با انجام وظایف روزانه مربوط به چرخه عمر کارکنان سازمان را برای رسیدن به اهدافش همراهی کند.
مسئولیت‌ها:

دریافت مدارک پرسنلی از نیروهای جدید‌‌ الاستخدام و تشکیل پرونده پرسنلی
به‌ روز رسانی اطلاعات پرسنلی و پرونده آن‌ها
آماده‌سازی قراردادها و کمک به صدور احکام پرسنلی
محاسبه کارکرد ماهانه پرسنل و کمک در محاسبه عیدی، سنوات و پاداش 
پیگیری امور مربوط به بیمه تامین اجتماعی و بیمه تکمیلی همکاران
انجام امور مربوط به خروج همکاران",کارگزاری آگاه,https://karboom.io/jobs/rlxnnk/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA-%D9%85%D9%86%D8%A7%D8%A8%D8%B9-%D8%A7%D9%86%D8%B3%D8%A7%D9%86%DB%8C,,karboom,امروز,تهران
استخدام کارشناس فروش,"توانایی متقاعدسازی مشتریان
پیگیری درخواست‌های مشتریان
فروش نرم افزار به همکاران و سازمان ها
بازاریابی و یافتن بازارهای جدید برای محصول
آشنایی با ویندوز و نرم‌افزارهای اداری (از قبیل Excel و Word)
ترجیحا تسلط به کسب و کار IT",دیتامون,https://karboom.io/jobs/ryxlla/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4,,karboom,امروز,قزوین
استخدام کارشناس برند,"ما در دپارتمان مارکتینگ کارگزاری آگاه به دنبال فردی با عنوان کارشناس برند هستیم تا در راستای پیاده سازی پروژه‌های برندینگ در کنار ما باشد و سازمان را برای رسیدن به اهدافش همراهی کند.

همکاری در اجرای پژوهش برند و انواع مطالعات مرتبط با برند
همکاری در تدوین اسناد مرتبط با استراتژی برند
تهیه گزارش‌های مرتبط با برند
همکاری در پیش‌برد اسناد و ترویج برند در سازمان
همکاری در نظارت و ردیابی عملکرد برند
همکاری با تیم‌های مختلف در راستای برندسازی سازمان",کارگزاری آگاه,https://karboom.io/jobs/wvjaab/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A8%D8%B1%D9%86%D8%AF,,karboom,امروز,تهران
استخدام طراح گرافیک,"ما در تیم مارکتینگ آگاه نیاز به فردی با عنوان طراح گرافیک داریم تا با طراحی خلاقانه و تولید محتوا متنی و تصویری، سازمان را برای رسیدن به اهدافش همراهی کند.
""‌مسئولیت‌ها:""

طراحی بنر و کاراکترهای سایت.
یکپارچه سازی محتوای تصویری با هویت برند. 
شناخت خوب از برند‌سازی و برندینگ.
توسعه برند، قواعد حاکم بر آن و طراحی برند بوک.
خلق شخصیت و تصویر مرتبط با محتوای مورد نظر.
تولید محتوای تصویری خلاقانه برای کمپین‌های تبلیغاتی، شبکه‌های اجتماعی و ....
تولید محتوای بصری.",کارگزاری آگاه,https://karboom.io/jobs/rdznnb/%D8%B7%D8%B1%D8%A7%D8%AD-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9,,karboom,امروز,تهران
استخدام کارشناس حقوق و دستمزد,"تسلط کامل به سیستم حقوق و دستمزد، ثبت اطلاعات پرسنل، صدور حکم
تسلط کامل به بستن کارکرد ماهیانه پرسنل
محاسبات حقوق و دستمزد پرسنل بر اساس حکم های کارگزینی و محاسبات کسورات مانند حق بیمه، مالیات، وام و مساعده و
محاسبه، و پرداخت اضافات حقوق مانند حق ماموریت، اضافه کار
تنظیم سند حسابداری حقوق و دستمزد ماهیانه
تهیه و تنظیم فیش حقوق پرسنل و تهیه فایل بانک جهت واریز
تسلط کامل در تهیه و تنظیم لیست دارایی
تسلط کامل به تهیه لیست ماهیانه بیمه تامین اجتماعی
کنترل در انجام محاسبات مزایای پایان خدمت کارکنان قراردادی
تسلط کامل به کلیه امور اداری و کارگزینی
انجام سایر امور محوله در حوزه وظایف سازمانی از سوی مقام مافوق",هیتکو,https://karboom.io/jobs/rvjayb/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AD%D9%82%D9%88%D9%82-%D9%88-%D8%AF%D8%B3%D8%AA%D9%85%D8%B2%D8%AF,,karboom,امروز,تهران
استخدام تکنسین برق,"اشراف كامل به مدارات برقی دستگاههاي توليد و توانايي تعمير و رفع اشكال برقی آن تجهیزات
عيب يابي از سنسورهای ابزار دقیق پلنت سولفوناسیون
عيب يابي از الکتروموتورها و سایر تجهیزات دوار در پلنت سولفوناسیون
عیب یابی از مدارهای قدرت پلنت سولفوناسیون
طراحي و تعميرات سيستمهاي برقی و الکتریکی
تسلط بر فرایند راهبری و راه اندازی دستگاه دیزل ژنراتور
تسلط بر نقشه خوانی مدارات برقی واحد سولفوناسیون",صنایع شیمیایی اکسیرآسو,https://karboom.io/jobs/rqmdxn/%D8%AA%DA%A9%D9%86%D8%B3%DB%8C%D9%86-%D8%A8%D8%B1%D9%82,,karboom,امروز,زنجان
Hiring Senior DevOps Engineer,"Mediana seeks a seasoned Senior DevOps Engineer to elevate our expanding product line in a fast-paced tech environment.Job Description:

Work within a team of skilled professionals to plan, deploy, and ensure continuous operation of business-critical applications.
Emphasize team engagement and knowledge sharing to enhance project outcomes. Advocate DevOps Best Practices: Act as a consultant to development teams and broader engineering groups, promoting the adoption of DevOps methodologies.
Aim to reduce manual toil, thereby increasing efficiency and job satisfaction within the team.
Troubleshoot and resolve technical problems promptly by engaging necessary resources. Focus on minimizing impact to customers through quick and efficient issue resolution.
Ensure reliability and availability of applications and services.
Share in the on-call responsibilities, demonstrating readiness to handle and resolve critical issues outside of normal working hours, ensuring system integrity and availability.",مدیانا,https://karboom.io/jobs/rjndnl/senior-devops-engineer,,karboom,Today,Tehran
Hiring Help Desk Specialist,"Mediana is in search of an IT Help Desk Specialist to support and drive improvements across our rapidly expanding product range.Job Description:

Install, upgrade, and troubleshoot computer hardware and software, ensuring optimal workstation performance.
Diagnose and resolve issues related to hardware, software, LAN, and peripheral devices.
Conduct regular maintenance and preventive checks on hardware and server environments to prevent issues.
Manage and respond to customer support tickets efficiently, providing hands-on resolution for technical queries.
Stay updated with the latest system changes and technology updates.
Document technical support activities and generate detailed reports on network support actions.
Provide guidance and support for purchasing computer and network equipment tailored to retail environments.
Engage with users to troubleshoot problems with computers and peripheral devices, ensuring high satisfaction levels.
Continuously follow up with users to confirm that their technical issues are resolved.",مدیانا,https://karboom.io/jobs/raemee/help-desk-specialist,,karboom,Today,Tehran
استخدام کارشناس ارشد برنامه ریزی فروش,"در واحد شعب کارگزاری آگاه نیاز به فردی با عنوان کارشناس ارشد برنامه ریزی فروش محصولات مدیریت دارایی داریم تا با هدف گذاری مناسب و تهیه و تحلیل گزارش‌ها، سازمان را برای رسیدن به اهدافش همراهی کند.مسئولیت‌ها:

تدوین اهداف برای واحدهای فروش و شعب
تدوین و تجزیه و تحلیل گزارشات
آماده سازی زیرساخت‌های لازم جهت تسهیل در مذاکرات فروش مدیران
تدوین برنامه‌های آموزشی و توسعه تیم فروش در حوزه محصولات
هماهنگی با بخش‌های مختلف سازمان برای اطمینان از اجرای یکپارچه طرح‌های فروش
تدوین برنامه‌های آموزشی و توسعه تیم فروش در حوزه محصولات
پیش بینی فروش فصلی و ماهانه
تحلیل و آنالیز روند فروش
طراحی و تدوین برنامه ریزی های فروش موثر برای دستیابی به اهداف
ارائه راهکارهای عملیاتی جهت بهبود عملکرد فروش",کارگزاری آگاه,https://karboom.io/jobs/wpyzgp/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B1%DB%8C%D8%B2%DB%8C-%D9%81%D8%B1%D9%88%D8%B4,,karboom,امروز,تهران
استخدام مشتقه,,کارگزاری بورس بیمه ایران,https://karboom.io/jobs/rjnjmo/%D9%85%D8%B4%D8%AA%D9%82%D9%87,,karboom,امروز,تهران
استخدام کارشناس شبکه و امنیت,"بیانیه مأموریت شغل
طراحی، پیاده‌سازی و نگهداری از زیرساخت‌های ارتباطی و امنیتی سیستم‌های کنترل و اتوماسیون صنعتی
نقش‌های تخصصی

پشتیبانی و نگهداری سرویس‌های زیرساختی امنیت و شبکه
استفاده از ابزارهای شبکه و سرویس‌های پایه
شناسایی، تحلیل و رفع مشکلات شبکه
پیکربندی و مدیریت تجهیزات شبکه و امنیت
شناسایی و برطرف‌کردن مشکلات شبکه و امنیت
به‌روزرسانی و ارتقای سخت‌افزاری و نرم‌افزاری شبکه و امنیت
بررسی تکنولوژی‌های جدید صنعت جهت بهبود عملکرد شبکه و امنیت
رسیدگی به درخواست‌های مشتریان
تولید مستندات فنی

سایر شایستگی‌ها

تسلط نسبی به زبان انگلیسی
مهارت حل مسئله
روحیه پرسش‌گری و چالش‌پذیری

علایق و تمایلات شغلی

فعالیت‌های خلاقانه
کار با مفاهیم/اطلاعات
جهت‌دهی/کنترل‌کردن/ برنامه‌ریزی 
فعالیت‌های علمی و فنی",ایریسا,https://karboom.io/jobs/rkydoe/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%B4%D8%A8%DA%A9%D9%87-%D9%88-%D8%A7%D9%85%D9%86%DB%8C%D8%AA,,karboom,امروز,اصفهان
